
b_ts, b_mean, b_std, p_ts, p_mean, p_std, a_ts, a_mean, a_std, rte(ms), gpu, trades, generations, blocksize
b_ts, b_mean, b_std, p_ts, p_mean, p_std, a_ts, a_mean, a_std, rte(ms), gpu, trades, generations, blocksize
1513018290, 0.011858, 0.000073, 1513018290, 0.011862, 0.009242, 1513018292, 0.011849, 0.000080, 39.069408, 1, 10, 144, 1024
b_ts, b_mean, b_std, p_ts, p_mean, p_std, a_ts, a_mean, a_std, rte(ms), gpu, trades, generations, blocksize
1513018301, 0.011849, 0.000080, 1513018301, 0.011846, 0.000075, 1513018303, 0.011861, 0.000073, 36.322815, 1, 10, 1024, 128
b_ts, b_mean, b_std, p_ts, p_mean, p_std, a_ts, a_mean, a_std, rte(ms), gpu, trades, generations, blocksize
1513018312, 0.011861, 0.000073, 1513018312, 0.011856, 0.000068, 1513018314, 0.011860, 0.000102, 36.767426, 1, 10, 1024, 256
b_ts, b_mean, b_std, p_ts, p_mean, p_std, a_ts, a_mean, a_std, rte(ms), gpu, trades, generations, blocksize
1513018322, 0.011860, 0.000102, 1513018322, 0.011861, 0.000101, 1513018324, 0.011889, 0.000080, 38.255199, 1, 10, 1024, 512
b_ts, b_mean, b_std, p_ts, p_mean, p_std, a_ts, a_mean, a_std, rte(ms), gpu, trades, generations, blocksize
1513018333, 0.011791, 0.000116, 1513018333, 0.011789, 0.000114, 1513018335, 0.011837, 0.000106, 39.084545, 1, 10, 1024, 1024
b_ts, b_mean, b_std, p_ts, p_mean, p_std, a_ts, a_mean, a_std, rte(ms), gpu, trades, generations, blocksize
1513018345, 0.011837, 0.000106, 1513018345, 0.011839, 0.000103, 1513018347, 0.011840, 0.000108, 37.636032, 1, 10, 2048, 128
b_ts, b_mean, b_std, p_ts, p_mean, p_std, a_ts, a_mean, a_std, rte(ms), gpu, trades, generations, blocksize
1513018355, 0.011840, 0.000108, 1513018355, 0.011841, 0.000106, 1513018357, 0.011819, 0.000106, 38.275616, 1, 10, 2048, 256
b_ts, b_mean, b_std, p_ts, p_mean, p_std, a_ts, a_mean, a_std, rte(ms), gpu, trades, generations, blocksize
1513018365, 0.011825, 0.000096, 1513018365, 0.011823, 0.000095, 1513018367, 0.011767, 0.000095, 37.898079, 1, 10, 2048, 512
b_ts, b_mean, b_std, p_ts, p_mean, p_std, a_ts, a_mean, a_std, rte(ms), gpu, trades, generations, blocksize
1513018374, 0.011810, 0.000105, 1513018374, 0.011816, 0.000095, 1513018376, 0.011772, 0.000107, 40.219646, 1, 10, 2048, 1024
b_ts, b_mean, b_std, p_ts, p_mean, p_std, a_ts, a_mean, a_std, rte(ms), gpu, trades, generations, blocksize
1513018384, 0.011772, 0.000107, 1513018384, 0.011778, 0.000098, 1513018386, 0.011804, 0.000103, 40.544735, 1, 10, 4096, 128
b_ts, b_mean, b_std, p_ts, p_mean, p_std, a_ts, a_mean, a_std, rte(ms), gpu, trades, generations, blocksize
1513018394, 0.011804, 0.000103, 1513018394, 0.011797, 0.000101, 1513018396, 0.011798, 0.000100, 38.929569, 1, 10, 4096, 256
b_ts, b_mean, b_std, p_ts, p_mean, p_std, a_ts, a_mean, a_std, rte(ms), gpu, trades, generations, blocksize
1513018406, 0.011750, 0.000125, 1513018406, 0.011741, 0.000112, 1513018408, 0.011785, 0.000097, 39.528065, 1, 10, 4096, 512
b_ts, b_mean, b_std, p_ts, p_mean, p_std, a_ts, a_mean, a_std, rte(ms), gpu, trades, generations, blocksize
1513018417, 0.011785, 0.000097, 1513018417, 0.011783, 0.000095, 1513018419, 0.011760, 0.000121, 40.503586, 1, 10, 4096, 1024
b_ts, b_mean, b_std, p_ts, p_mean, p_std, a_ts, a_mean, a_std, rte(ms), gpu, trades, generations, blocksize
1513018427, 0.011728, 0.000125, 1513018427, 0.011722, 0.000120, 1513018429, 0.011728, 0.000123, 42.782719, 1, 10, 8192, 128
b_ts, b_mean, b_std, p_ts, p_mean, p_std, a_ts, a_mean, a_std, rte(ms), gpu, trades, generations, blocksize
1513018438, 0.011772, 0.000123, 1513018438, 0.011772, 0.000121, 1513018440, 0.011732, 0.000103, 43.429504, 1, 10, 8192, 256
b_ts, b_mean, b_std, p_ts, p_mean, p_std, a_ts, a_mean, a_std, rte(ms), gpu, trades, generations, blocksize
1513018449, 0.011748, 0.000115, 1513018449, 0.011727, 0.000099, 1513018451, 0.011795, 0.000120, 44.150143, 1, 10, 8192, 512
b_ts, b_mean, b_std, p_ts, p_mean, p_std, a_ts, a_mean, a_std, rte(ms), gpu, trades, generations, blocksize
1513018459, 0.011795, 0.000120, 1513018459, 0.011804, 0.000113, 1513018461, 0.011740, 0.000120, 43.083553, 1, 10, 8192, 1024
b_ts, b_mean, b_std, p_ts, p_mean, p_std, a_ts, a_mean, a_std, rte(ms), gpu, trades, generations, blocksize
1513018469, 0.011766, 0.000111, 1513018469, 0.011719, 0.000072, 1513018481, 0.011794, 0.000127, 75.762115, 1, 50, 1, 128
b_ts, b_mean, b_std, p_ts, p_mean, p_std, a_ts, a_mean, a_std, rte(ms), gpu, trades, generations, blocksize
1513018489, 0.011820, 0.000120, 1513018489, 0.011724, 0.000066, 1513018501, 0.011819, 0.000109, 76.591805, 1, 50, 1, 256
b_ts, b_mean, b_std, p_ts, p_mean, p_std, a_ts, a_mean, a_std, rte(ms), gpu, trades, generations, blocksize
1513018509, 0.011797, 0.000115, 1513018509, 0.011742, 0.000078, 1513018521, 0.011789, 0.000103, 79.295715, 1, 50, 1, 512
b_ts, b_mean, b_std, p_ts, p_mean, p_std, a_ts, a_mean, a_std, rte(ms), gpu, trades, generations, blocksize
1513018528, 0.011789, 0.000103, 1513018528, 0.011740, 0.000075, 1513018540, 0.011796, 0.000088, 99.975487, 1, 50, 1, 1024
b_ts, b_mean, b_std, p_ts, p_mean, p_std, a_ts, a_mean, a_std, rte(ms), gpu, trades, generations, blocksize
1513018548, 0.011809, 0.000101, 1513018548, 0.011800, 0.000096, 1513018560, 0.011822, 0.000092, 76.056740, 1, 50, 6, 128
b_ts, b_mean, b_std, p_ts, p_mean, p_std, a_ts, a_mean, a_std, rte(ms), gpu, trades, generations, blocksize
1513018569, 0.011822, 0.000092, 1513018569, 0.011801, 0.000086, 1513018581, 0.011830, 0.000092, 78.093056, 1, 50, 6, 256
b_ts, b_mean, b_std, p_ts, p_mean, p_std, a_ts, a_mean, a_std, rte(ms), gpu, trades, generations, blocksize
1513018589, 0.011826, 0.000089, 1513018589, 0.011819, 0.000080, 1513018601, 0.011832, 0.000093, 82.653503, 1, 50, 6, 512
b_ts, b_mean, b_std, p_ts, p_mean, p_std, a_ts, a_mean, a_std, rte(ms), gpu, trades, generations, blocksize
1513018609, 0.011832, 0.000093, 1513018609, 0.011844, 0.011845, 1513018621, 0.011851, 0.000094, 103.046082, 1, 50, 6, 1024
b_ts, b_mean, b_std, p_ts, p_mean, p_std, a_ts, a_mean, a_std, rte(ms), gpu, trades, generations, blocksize
1513018629, 0.011851, 0.000094, 1513018629, 0.011836, 0.000090, 1513018641, 0.011844, 0.000083, 76.367393, 1, 50, 12, 128
b_ts, b_mean, b_std, p_ts, p_mean, p_std, a_ts, a_mean, a_std, rte(ms), gpu, trades, generations, blocksize
1513018649, 0.011844, 0.000083, 1513018649, 0.011846, 0.000075, 1513018661, 0.011835, 0.000084, 76.041313, 1, 50, 12, 256
b_ts, b_mean, b_std, p_ts, p_mean, p_std, a_ts, a_mean, a_std, rte(ms), gpu, trades, generations, blocksize
1513018669, 0.011851, 0.000088, 1513018669, 0.011844, 0.000080, 1513018681, 0.011854, 0.000087, 81.734467, 1, 50, 12, 512
b_ts, b_mean, b_std, p_ts, p_mean, p_std, a_ts, a_mean, a_std, rte(ms), gpu, trades, generations, blocksize
1513018689, 0.011854, 0.000087, 1513018689, 0.011840, 0.000082, 1513018701, 0.011847, 0.000075, 99.121277, 1, 50, 12, 1024
b_ts, b_mean, b_std, p_ts, p_mean, p_std, a_ts, a_mean, a_std, rte(ms), gpu, trades, generations, blocksize
1513018709, 0.011840, 0.000088, 1513018709, 0.011834, 0.000083, 1513018721, 0.011843, 0.000089, 74.378883, 1, 50, 36, 128
b_ts, b_mean, b_std, p_ts, p_mean, p_std, a_ts, a_mean, a_std, rte(ms), gpu, trades, generations, blocksize
1513018731, 0.011843, 0.000089, 1513018731, 0.011849, 0.000077, 1513018743, 0.011834, 0.000083, 75.779488, 1, 50, 36, 256
b_ts, b_mean, b_std, p_ts, p_mean, p_std, a_ts, a_mean, a_std, rte(ms), gpu, trades, generations, blocksize
1513018750, 0.011827, 0.000084, 1513018750, 0.011824, 0.000078, 1513018762, 0.011833, 0.000082, 81.414688, 1, 50, 36, 512
b_ts, b_mean, b_std, p_ts, p_mean, p_std, a_ts, a_mean, a_std, rte(ms), gpu, trades, generations, blocksize
1513018770, 0.011833, 0.000082, 1513018771, 0.011830, 0.001382, 1513018783, 0.011832, 0.000086, 102.921791, 1, 50, 36, 1024
b_ts, b_mean, b_std, p_ts, p_mean, p_std, a_ts, a_mean, a_std, rte(ms), gpu, trades, generations, blocksize
1513018792, 0.011830, 0.000078, 1513018792, 0.011824, 0.000072, 1513018804, 0.011833, 0.000085, 74.705055, 1, 50, 72, 128
b_ts, b_mean, b_std, p_ts, p_mean, p_std, a_ts, a_mean, a_std, rte(ms), gpu, trades, generations, blocksize
1513018814, 0.011836, 0.000085, 1513018814, 0.011824, 0.000075, 1513018826, 0.011828, 0.000081, 76.003807, 1, 50, 72, 256
b_ts, b_mean, b_std, p_ts, p_mean, p_std, a_ts, a_mean, a_std, rte(ms), gpu, trades, generations, blocksize
1513018836, 0.011841, 0.000081, 1513018836, 0.011829, 0.000073, 1513018848, 0.011815, 0.000118, 82.987778, 1, 50, 72, 512
b_ts, b_mean, b_std, p_ts, p_mean, p_std, a_ts, a_mean, a_std, rte(ms), gpu, trades, generations, blocksize
1513018857, 0.011815, 0.000118, 1513018857, 0.011786, 0.006600, 1513018869, 0.011816, 0.000104, 103.010658, 1, 50, 72, 1024
b_ts, b_mean, b_std, p_ts, p_mean, p_std, a_ts, a_mean, a_std, rte(ms), gpu, trades, generations, blocksize
1513018878, 0.011813, 0.000104, 1513018878, 0.011780, 0.000093, 1513018890, 0.011799, 0.000101, 73.894493, 1, 50, 144, 128
b_ts, b_mean, b_std, p_ts, p_mean, p_std, a_ts, a_mean, a_std, rte(ms), gpu, trades, generations, blocksize
1513018900, 0.011799, 0.000101, 1513018900, 0.011786, 0.000083, 1513018912, 0.011756, 0.000116, 75.189087, 1, 50, 144, 256
b_ts, b_mean, b_std, p_ts, p_mean, p_std, a_ts, a_mean, a_std, rte(ms), gpu, trades, generations, blocksize
1513018920, 0.011756, 0.000116, 1513018920, 0.011741, 0.000091, 1513018932, 0.011757, 0.000117, 81.947487, 1, 50, 144, 512
b_ts, b_mean, b_std, p_ts, p_mean, p_std, a_ts, a_mean, a_std, rte(ms), gpu, trades, generations, blocksize
1513018940, 0.011756, 0.000116, 1513018940, 0.011793, 0.009192, 1513018952, 0.011752, 0.000129, 104.108803, 1, 50, 144, 1024
b_ts, b_mean, b_std, p_ts, p_mean, p_std, a_ts, a_mean, a_std, rte(ms), gpu, trades, generations, blocksize
1513018960, 0.011752, 0.000129, 1513018960, 0.011784, 0.000104, 1513018972, 0.011766, 0.000136, 90.033920, 1, 50, 1024, 128
b_ts, b_mean, b_std, p_ts, p_mean, p_std, a_ts, a_mean, a_std, rte(ms), gpu, trades, generations, blocksize
1513018980, 0.011835, 0.000115, 1513018980, 0.011815, 0.000106, 1513018992, 0.011818, 0.000095, 91.529823, 1, 50, 1024, 256
b_ts, b_mean, b_std, p_ts, p_mean, p_std, a_ts, a_mean, a_std, rte(ms), gpu, trades, generations, blocksize
1513019000, 0.011818, 0.000095, 1513019000, 0.011804, 0.000090, 1513019012, 0.011833, 0.000098, 93.352386, 1, 50, 1024, 512
b_ts, b_mean, b_std, p_ts, p_mean, p_std, a_ts, a_mean, a_std, rte(ms), gpu, trades, generations, blocksize
1513019019, 0.011833, 0.000098, 1513019020, 0.011810, 0.000090, 1513019032, 0.011833, 0.000094, 102.226913, 1, 50, 1024, 1024
b_ts, b_mean, b_std, p_ts, p_mean, p_std, a_ts, a_mean, a_std, rte(ms), gpu, trades, generations, blocksize
1513019040, 0.011833, 0.000094, 1513019040, 0.011812, 0.000083, 1513019052, 0.011827, 0.000094, 93.873726, 1, 50, 2048, 128
b_ts, b_mean, b_std, p_ts, p_mean, p_std, a_ts, a_mean, a_std, rte(ms), gpu, trades, generations, blocksize
1513019061, 0.011822, 0.000089, 1513019061, 0.011809, 0.000080, 1513019073, 0.011834, 0.000090, 100.037117, 1, 50, 2048, 256
b_ts, b_mean, b_std, p_ts, p_mean, p_std, a_ts, a_mean, a_std, rte(ms), gpu, trades, generations, blocksize
1513019081, 0.011828, 0.000091, 1513019081, 0.011811, 0.000084, 1513019093, 0.011821, 0.000086, 93.017120, 1, 50, 2048, 512
b_ts, b_mean, b_std, p_ts, p_mean, p_std, a_ts, a_mean, a_std, rte(ms), gpu, trades, generations, blocksize
1513019101, 0.011821, 0.000086, 1513019101, 0.011817, 0.000078, 1513019113, 0.011830, 0.000084, 101.525536, 1, 50, 2048, 1024
b_ts, b_mean, b_std, p_ts, p_mean, p_std, a_ts, a_mean, a_std, rte(ms), gpu, trades, generations, blocksize
1513019123, 0.011831, 0.000084, 1513019123, 0.011819, 0.000074, 1513019135, 0.011820, 0.000080, 98.416382, 1, 50, 4096, 128
b_ts, b_mean, b_std, p_ts, p_mean, p_std, a_ts, a_mean, a_std, rte(ms), gpu, trades, generations, blocksize
1513019143, 0.011820, 0.000080, 1513019143, 0.011817, 0.000074, 1513019155, 0.011808, 0.000094, 99.109505, 1, 50, 4096, 256
b_ts, b_mean, b_std, p_ts, p_mean, p_std, a_ts, a_mean, a_std, rte(ms), gpu, trades, generations, blocksize
1513019163, 0.011808, 0.000094, 1513019163, 0.011786, 0.000084, 1513019175, 0.011802, 0.000099, 102.171326, 1, 50, 4096, 512
b_ts, b_mean, b_std, p_ts, p_mean, p_std, a_ts, a_mean, a_std, rte(ms), gpu, trades, generations, blocksize
1513019183, 0.011807, 0.000093, 1513019183, 0.011802, 0.000079, 1513019195, 0.011814, 0.000098, 112.452675, 1, 50, 4096, 1024
b_ts, b_mean, b_std, p_ts, p_mean, p_std, a_ts, a_mean, a_std, rte(ms), gpu, trades, generations, blocksize
1513019204, 0.011808, 0.000096, 1513019204, 0.011807, 0.000082, 1513019216, 0.011806, 0.000091, 114.166206, 1, 50, 8192, 128
b_ts, b_mean, b_std, p_ts, p_mean, p_std, a_ts, a_mean, a_std, rte(ms), gpu, trades, generations, blocksize
1513019224, 0.011805, 0.000094, 1513019224, 0.011796, 0.000089, 1513019236, 0.011809, 0.000088, 116.766525, 1, 50, 8192, 256
b_ts, b_mean, b_std, p_ts, p_mean, p_std, a_ts, a_mean, a_std, rte(ms), gpu, trades, generations, blocksize
1513019244, 0.011809, 0.000088, 1513019244, 0.011808, 0.000073, 1513019256, 0.011802, 0.000094, 127.632065, 1, 50, 8192, 512
b_ts, b_mean, b_std, p_ts, p_mean, p_std, a_ts, a_mean, a_std, rte(ms), gpu, trades, generations, blocksize
1513019266, 0.011799, 0.000098, 1513019266, 0.011793, 0.000084, 1513019278, 0.011741, 0.000123, 122.390465, 1, 50, 8192, 1024
b_ts, b_mean, b_std, p_ts, p_mean, p_std, a_ts, a_mean, a_std, rte(ms), gpu, trades, generations, blocksize
1513019287, 0.011741, 0.000123, 1513019287, 0.011730, 0.000065, 1513019312, 0.011809, 0.000090, 127.687584, 1, 100, 1, 128
b_ts, b_mean, b_std, p_ts, p_mean, p_std, a_ts, a_mean, a_std, rte(ms), gpu, trades, generations, blocksize
1513019320, 0.011823, 0.000095, 1513019320, 0.011740, 0.000057, 1513019345, 0.011811, 0.000107, 132.707520, 1, 100, 1, 256
b_ts, b_mean, b_std, p_ts, p_mean, p_std, a_ts, a_mean, a_std, rte(ms), gpu, trades, generations, blocksize
1513019353, 0.011805, 0.000106, 1513019353, 0.011743, 0.000079, 1513019378, 0.011729, 0.000144, 137.263901, 1, 100, 1, 512
b_ts, b_mean, b_std, p_ts, p_mean, p_std, a_ts, a_mean, a_std, rte(ms), gpu, trades, generations, blocksize
1513019387, 0.011729, 0.000144, 1513019387, 0.011697, 0.011723, 1513019412, 0.011816, 0.000096, 186.457703, 1, 100, 1, 1024
b_ts, b_mean, b_std, p_ts, p_mean, p_std, a_ts, a_mean, a_std, rte(ms), gpu, trades, generations, blocksize
1513019420, 0.011816, 0.000096, 1513019420, 0.011780, 0.000059, 1513019445, 0.011800, 0.000112, 127.407936, 1, 100, 6, 128
b_ts, b_mean, b_std, p_ts, p_mean, p_std, a_ts, a_mean, a_std, rte(ms), gpu, trades, generations, blocksize
1513019452, 0.011800, 0.000112, 1513019452, 0.011738, 0.000077, 1513019477, 0.011803, 0.000122, 131.567230, 1, 100, 6, 256
b_ts, b_mean, b_std, p_ts, p_mean, p_std, a_ts, a_mean, a_std, rte(ms), gpu, trades, generations, blocksize
1513019486, 0.011803, 0.000122, 1513019486, 0.011738, 0.000092, 1513019511, 0.011803, 0.000113, 145.992996, 1, 100, 6, 512
b_ts, b_mean, b_std, p_ts, p_mean, p_std, a_ts, a_mean, a_std, rte(ms), gpu, trades, generations, blocksize
1513019610, 0.011792, 0.000086, 1513019610, 0.011733, 0.000040, 1513019635, 0.011767, 0.000123, 125.103844, 1, 100, 1, 128
b_ts, b_mean, b_std, p_ts, p_mean, p_std, a_ts, a_mean, a_std, rte(ms), gpu, trades, generations, blocksize
1513019644, 0.011758, 0.000124, 1513019645, 0.011665, 0.000066, 1513019670, 0.011765, 0.000092, 125.816002, 1, 100, 1, 256
b_ts, b_mean, b_std, p_ts, p_mean, p_std, a_ts, a_mean, a_std, rte(ms), gpu, trades, generations, blocksize
1513019678, 0.011744, 0.000056, 1513019678, 0.011731, 0.000040, 1513019703, 0.011769, 0.000110, 147.204895, 1, 100, 1, 512
b_ts, b_mean, b_std, p_ts, p_mean, p_std, a_ts, a_mean, a_std, rte(ms), gpu, trades, generations, blocksize
1513019713, 0.011769, 0.000110, 1513019713, 0.011664, 0.011681, 1513019738, 0.011835, 0.000089, 178.200836, 1, 100, 1, 1024
b_ts, b_mean, b_std, p_ts, p_mean, p_std, a_ts, a_mean, a_std, rte(ms), gpu, trades, generations, blocksize
1513019746, 0.011833, 0.000096, 1513019747, 0.011719, 0.000060, 1513019772, 0.011814, 0.000112, 133.342560, 1, 100, 6, 128
b_ts, b_mean, b_std, p_ts, p_mean, p_std, a_ts, a_mean, a_std, rte(ms), gpu, trades, generations, blocksize
1513019780, 0.011830, 0.000097, 1513019780, 0.011702, 0.000054, 1513019805, 0.011728, 0.000074, 124.972290, 1, 100, 6, 256
b_ts, b_mean, b_std, p_ts, p_mean, p_std, a_ts, a_mean, a_std, rte(ms), gpu, trades, generations, blocksize
1513019813, 0.011734, 0.000072, 1513019813, 0.011713, 0.000048, 1513019838, 0.011731, 0.000081, 150.160858, 1, 100, 6, 512
b_ts, b_mean, b_std, p_ts, p_mean, p_std, a_ts, a_mean, a_std, rte(ms), gpu, trades, generations, blocksize
1513019846, 0.011835, 0.000094, 1513019846, 0.011689, 0.000043, 1513019871, 0.011837, 0.000099, 173.410751, 1, 100, 6, 1024
b_ts, b_mean, b_std, p_ts, p_mean, p_std, a_ts, a_mean, a_std, rte(ms), gpu, trades, generations, blocksize
1513019880, 0.011837, 0.000099, 1513019880, 0.011707, 0.000059, 1513019905, 0.011815, 0.000107, 127.319870, 1, 100, 12, 128
b_ts, b_mean, b_std, p_ts, p_mean, p_std, a_ts, a_mean, a_std, rte(ms), gpu, trades, generations, blocksize
1513019914, 0.011788, 0.000119, 1513019914, 0.011666, 0.000056, 1513019939, 0.011794, 0.000119, 127.221214, 1, 100, 12, 256
b_ts, b_mean, b_std, p_ts, p_mean, p_std, a_ts, a_mean, a_std, rte(ms), gpu, trades, generations, blocksize
1513019949, 0.011794, 0.000119, 1513019949, 0.011667, 0.000053, 1513019974, 0.011802, 0.000134, 138.428833, 1, 100, 12, 512
b_ts, b_mean, b_std, p_ts, p_mean, p_std, a_ts, a_mean, a_std, rte(ms), gpu, trades, generations, blocksize
1513019984, 0.011717, 0.000172, 1513019984, 0.011620, 0.011618, 1513020009, 0.011606, 0.000108, 173.555206, 1, 100, 12, 1024
b_ts, b_mean, b_std, p_ts, p_mean, p_std, a_ts, a_mean, a_std, rte(ms), gpu, trades, generations, blocksize
1513020038, 0.011595, 0.000090, 1513020038, 0.011621, 0.000050, 1513020063, 0.011783, 0.000151, 123.983681, 1, 100, 36, 128
b_ts, b_mean, b_std, p_ts, p_mean, p_std, a_ts, a_mean, a_std, rte(ms), gpu, trades, generations, blocksize
1513020071, 0.011783, 0.000151, 1513020071, 0.011617, 0.000095, 1513020096, 0.011662, 0.000109, 124.082626, 1, 100, 36, 256
b_ts, b_mean, b_std, p_ts, p_mean, p_std, a_ts, a_mean, a_std, rte(ms), gpu, trades, generations, blocksize
1513020105, 0.011638, 0.000111, 1513020105, 0.011611, 0.000081, 1513020130, 0.011641, 0.000109, 130.516647, 1, 100, 36, 512
b_ts, b_mean, b_std, p_ts, p_mean, p_std, a_ts, a_mean, a_std, rte(ms), gpu, trades, generations, blocksize
1513020138, 0.011637, 0.000105, 1513020138, 0.011600, 0.000068, 1513020163, 0.011622, 0.000112, 166.973190, 1, 100, 36, 1024
b_ts, b_mean, b_std, p_ts, p_mean, p_std, a_ts, a_mean, a_std, rte(ms), gpu, trades, generations, blocksize
1513020172, 0.011613, 0.000090, 1513020172, 0.011595, 0.000068, 1513020197, 0.011520, 0.000116, 120.508324, 1, 100, 72, 128
b_ts, b_mean, b_std, p_ts, p_mean, p_std, a_ts, a_mean, a_std, rte(ms), gpu, trades, generations, blocksize
1513020206, 0.011617, 0.000111, 1513020206, 0.011591, 0.000070, 1513020231, 0.011518, 0.000113, 131.138077, 1, 100, 72, 256
b_ts, b_mean, b_std, p_ts, p_mean, p_std, a_ts, a_mean, a_std, rte(ms), gpu, trades, generations, blocksize
1513020239, 0.011637, 0.000202, 1513020239, 0.011531, 0.000056, 1513020264, 0.011694, 0.000145, 143.184479, 1, 100, 72, 512
b_ts, b_mean, b_std, p_ts, p_mean, p_std, a_ts, a_mean, a_std, rte(ms), gpu, trades, generations, blocksize
1513020272, 0.011694, 0.000145, 1513020272, 0.011549, 0.001339, 1513020297, 0.011695, 0.000149, 179.921158, 1, 100, 72, 1024
b_ts, b_mean, b_std, p_ts, p_mean, p_std, a_ts, a_mean, a_std, rte(ms), gpu, trades, generations, blocksize
1513020305, 0.011695, 0.000149, 1513020305, 0.011512, 0.000039, 1513020330, 0.011693, 0.000145, 129.182175, 1, 100, 144, 128
b_ts, b_mean, b_std, p_ts, p_mean, p_std, a_ts, a_mean, a_std, rte(ms), gpu, trades, generations, blocksize
1513020339, 0.011693, 0.000145, 1513020339, 0.011514, 0.000042, 1513020364, 0.011537, 0.000114, 129.014847, 1, 100, 144, 256
b_ts, b_mean, b_std, p_ts, p_mean, p_std, a_ts, a_mean, a_std, rte(ms), gpu, trades, generations, blocksize
1513020372, 0.011537, 0.000114, 1513020372, 0.011474, 0.000044, 1513020397, 0.011643, 0.000126, 142.134079, 1, 100, 144, 512
b_ts, b_mean, b_std, p_ts, p_mean, p_std, a_ts, a_mean, a_std, rte(ms), gpu, trades, generations, blocksize
1513020405, 0.011643, 0.000126, 1513020406, 0.011499, 0.006411, 1513020431, 0.011657, 0.000120, 188.133636, 1, 100, 144, 1024
b_ts, b_mean, b_std, p_ts, p_mean, p_std, a_ts, a_mean, a_std, rte(ms), gpu, trades, generations, blocksize
1513020439, 0.011657, 0.000120, 1513020439, 0.011493, 0.000055, 1513020464, 0.011632, 0.000130, 160.398880, 1, 100, 1024, 128
b_ts, b_mean, b_std, p_ts, p_mean, p_std, a_ts, a_mean, a_std, rte(ms), gpu, trades, generations, blocksize
1513020472, 0.011632, 0.000130, 1513020472, 0.011494, 0.000050, 1513020497, 0.011515, 0.000101, 161.951645, 1, 100, 1024, 256
b_ts, b_mean, b_std, p_ts, p_mean, p_std, a_ts, a_mean, a_std, rte(ms), gpu, trades, generations, blocksize
b_ts, b_mean, b_std, p_ts, p_mean, p_std, a_ts, a_mean, a_std, rte(ms), gpu, trades, generations, blocksize
1513020507, 0.011496, 0.000072, 1513020507, 0.011473, 0.000047, 1513020532, 0.011654, 0.000116, 173.764832, 1, 100, 1024, 1024
b_ts, b_mean, b_std, p_ts, p_mean, p_std, a_ts, a_mean, a_std, rte(ms), gpu, trades, generations, blocksize
b_ts, b_mean, b_std, p_ts, p_mean, p_std, a_ts, a_mean, a_std, rte(ms), gpu, trades, generations, blocksize
1513020541, 0.011654, 0.000116, 1513020541, 0.011528, 0.000046, 1513020566, 0.011606, 0.000152, 169.638779, 1, 100, 2048, 256
b_ts, b_mean, b_std, p_ts, p_mean, p_std, a_ts, a_mean, a_std, rte(ms), gpu, trades, generations, blocksize
1513020573, 0.011603, 0.000147, 1513020574, 0.011456, 0.000040, 1513020599, 0.011568, 0.000123, 171.420319, 1, 100, 2048, 512
b_ts, b_mean, b_std, p_ts, p_mean, p_std, a_ts, a_mean, a_std, rte(ms), gpu, trades, generations, blocksize
1513020607, 0.011568, 0.000123, 1513020607, 0.011464, 0.000062, 1513020632, 0.011609, 0.000112, 185.672226, 1, 100, 2048, 1024
b_ts, b_mean, b_std, p_ts, p_mean, p_std, a_ts, a_mean, a_std, rte(ms), gpu, trades, generations, blocksize
1513020640, 0.011609, 0.000112, 1513020640, 0.011475, 0.000051, 1513020665, 0.011624, 0.000098, 177.871201, 1, 100, 4096, 128
b_ts, b_mean, b_std, p_ts, p_mean, p_std, a_ts, a_mean, a_std, rte(ms), gpu, trades, generations, blocksize
1513020676, 0.011624, 0.000098, 1513020677, 0.011472, 0.000045, 1513020702, 0.011630, 0.000123, 182.970566, 1, 100, 4096, 256
b_ts, b_mean, b_std, p_ts, p_mean, p_std, a_ts, a_mean, a_std, rte(ms), gpu, trades, generations, blocksize
1513020710, 0.011630, 0.000123, 1513020710, 0.011470, 0.000056, 1513020735, 0.011599, 0.000111, 177.072220, 1, 100, 4096, 512
b_ts, b_mean, b_std, p_ts, p_mean, p_std, a_ts, a_mean, a_std, rte(ms), gpu, trades, generations, blocksize
1513020747, 0.011599, 0.000115, 1513020747, 0.011438, 0.000053, 1513020772, 0.011530, 0.000101, 198.623810, 1, 100, 4096, 1024
b_ts, b_mean, b_std, p_ts, p_mean, p_std, a_ts, a_mean, a_std, rte(ms), gpu, trades, generations, blocksize
1513020780, 0.011530, 0.000101, 1513020780, 0.011458, 0.000042, 1513020805, 0.011544, 0.000096, 211.362396, 1, 100, 8192, 128
b_ts, b_mean, b_std, p_ts, p_mean, p_std, a_ts, a_mean, a_std, rte(ms), gpu, trades, generations, blocksize
1513020814, 0.011544, 0.000096, 1513020814, 0.011454, 0.000046, 1513020839, 0.011522, 0.000112, 216.024734, 1, 100, 8192, 256
b_ts, b_mean, b_std, p_ts, p_mean, p_std, a_ts, a_mean, a_std, rte(ms), gpu, trades, generations, blocksize
1513020848, 0.011431, 0.000083, 1513020849, 0.011428, 0.000046, 1513020874, 0.011524, 0.000092, 216.741409, 1, 100, 8192, 512
b_ts, b_mean, b_std, p_ts, p_mean, p_std, a_ts, a_mean, a_std, rte(ms), gpu, trades, generations, blocksize
1513020885, 0.011503, 0.000109, 1513020886, 0.011428, 0.000044, 1513020911, 0.011507, 0.000116, 218.906876, 1, 100, 8192, 1024
b_ts, b_mean, b_std, p_ts, p_mean, p_std, a_ts, a_mean, a_std, rte(ms), gpu, trades, generations, blocksize
